provinsi,tahun,pulau,latitude,longitude,nilai_output_mikro,nilai_output_kecil,perusahaan_mikro,perusahaan_kecil,jumlah_perusahaan,tenaga_kerja_mikro,tenaga_kerja_kecil,jumlah_tenaga_kerja,cluster_raw,cluster,kategori_cluster,Kategori_Cluster,nilai_output,cluster_id
SULAWESI SELATAN,2014,Sulawesi,-3.665354,119.97248,8614740.0,19653066.0,100526.0,5893.0,106419.0,185371.0,50698.0,236069.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,28267806.0,0
KALIMANTAN BARAT,2014,Kalimantan,-0.138716,109.332657,2895402.0,1654074.0,36311.0,1101.0,37412.0,67571.0,8737.0,76308.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),4549476.0,2
PAPUA,2014,Maluku & Papua,-4.269928,138.080353,3087310.0,789056.0,9413.0,689.0,10102.0,20353.0,4479.0,24832.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),3876366.0,2
SULAWESI UTARA,2014,Sulawesi,0.627019,123.975107,2878626.0,31413.0,35527.0,60.0,35587.0,61792.0,420.0,62212.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),2910039.0,2
KALIMANTAN TIMUR,2014,Kalimantan,1.681488,116.419389,2173774.0,1491868.0,15866.0,1855.0,17721.0,0.0,0.0,0.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),3665642.0,2
KALIMANTAN TENGAH,2014,Kalimantan,-1.681488,113.382355,1870499.0,724217.0,18936.0,996.0,19932.0,35292.0,8243.0,43535.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),2594716.0,2
KALIMANTAN SELATAN,2014,Kalimantan,-3.093082,115.283366,3985882.0,3280099.0,67674.0,3192.0,70866.0,109164.0,25664.0,134828.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,7265981.0,2
JAWA TIMUR,2014,Jawa,-7.536068,112.238425,48063617.0,54097963.0,608774.0,39932.0,648706.0,1195368.0,347668.0,1543036.0,1,2,Cluster 2: Sedang / Potensial,Cluster 2: Produktivitas IMK Sedang,102161580.0,1
BENGKULU,2014,Sumatera,-3.79313,102.265808,1171388.0,317826.0,11310.0,738.0,12048.0,23727.0,5008.0,28735.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1489214.0,2
ACEH,2014,Sumatera,4.695135,96.749397,3309411.0,1241252.0,69316.0,1715.0,71031.0,111695.0,13283.0,124978.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),4550663.0,2
SULAWESI BARAT,2014,Sulawesi,-2.840676,119.23247,1423955.0,1345627.0,27888.0,1210.0,29098.0,44330.0,9618.0,53948.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),2769582.0,2
JAWA BARAT,2014,Jawa,-7.090911,107.668887,43484873.0,55018959.0,437985.0,60078.0,498063.0,859857.0,473281.0,1333138.0,1,2,Cluster 2: Sedang / Potensial,Cluster 2: Produktivitas IMK Sedang,98503832.0,1
JAMBI,2014,Sumatera,-1.612129,103.611496,2990666.0,1225109.0,25441.0,2006.0,27447.0,49399.0,13884.0,63283.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),4215775.0,2
PAPUA SELATAN,2014,Maluku & Papua,-6.75,140.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),0.0,2
PAPUA BARAT,2014,Maluku & Papua,-1.336246,133.174595,331524.0,84513.0,2353.0,126.0,2479.0,4372.0,891.0,5263.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),416037.0,2
PAPUA PEGUNUNGAN,2014,Maluku & Papua,-4.5,138.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),0.0,2
JAWA TENGAH,2014,Jawa,-7.150975,110.140259,43490614.0,32847621.0,766782.0,65690.0,832472.0,1437952.0,497046.0,1934998.0,1,2,Cluster 2: Sedang / Potensial,Cluster 2: Produktivitas IMK Sedang,76338235.0,3
PAPUA BARAT DAYA,2014,Maluku & Papua,-1.8,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),0.0,2
NUSA TENGGARA TIMUR,2014,Bali & Nusa Tenggara,-8.657384,121.079107,5483912.0,1353696.0,109266.0,2776.0,112042.0,187248.0,20509.0,207757.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,6837608.0,0
SULAWESI TENGAH,2014,Sulawesi,-1.430318,121.445017,4105572.0,983207.0,38511.0,1784.0,40295.0,70867.0,12976.0,83843.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),5088779.0,2
RIAU,2014,Sumatera,0.293491,101.706513,1745573.0,1011500.0,14355.0,1360.0,15715.0,28775.0,9286.0,38061.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),2757073.0,2
GORONTALO,2014,Sulawesi,0.699526,122.446341,1168442.0,480066.0,22610.0,1241.0,23851.0,38775.0,8557.0,47332.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1648508.0,2
DI YOGYAKARTA,2014,Jawa,-7.873783,110.425706,4663255.0,4939849.0,73266.0,7313.0,80579.0,126729.0,59903.0,186632.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,9603104.0,0
SUMATERA SELATAN,2014,Sumatera,-3.319009,103.914399,7470419.0,2981233.0,58751.0,5741.0,64492.0,120280.0,44236.0,164516.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,10451652.0,0
LAMPUNG,2014,Sumatera,-4.557573,105.406811,11542419.0,5964285.0,94739.0,8971.0,103710.0,202090.0,72574.0,274664.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,17506704.0,0
BANTEN,2014,Jawa,-6.405876,106.102921,5526181.0,5938593.0,75760.0,5652.0,81412.0,131132.0,43656.0,174788.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,11464774.0,0
KEP. BANGKA BELITUNG,2014,Sumatera,-2.741051,106.440903,898689.0,364476.0,7752.0,515.0,8267.0,15202.0,3727.0,18929.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1263165.0,2
NUSA TENGGARA BARAT,2014,Bali & Nusa Tenggara,-8.652406,117.361649,6647120.0,25501320.0,93645.0,13586.0,107231.0,166862.0,153099.0,319961.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,32148440.0,0
MALUKU UTARA,2014,Maluku & Papua,1.570696,127.808189,469526.0,67696.0,7851.0,107.0,7958.0,11440.0,639.0,12079.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),537222.0,2
MALUKU,2014,Maluku & Papua,-3.238929,130.145295,1662787.0,90023.0,36422.0,218.0,36640.0,55113.0,1266.0,56379.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1752810.0,2
SULAWESI TENGGARA,2014,Sulawesi,-4.14576,122.174605,4813657.0,724687.0,68711.0,2845.0,71556.0,133545.0,18935.0,152480.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,5538344.0,2
KALIMANTAN UTARA,2014,Kalimantan,3.073798,116.041703,0.0,0.0,0.0,0.0,0.0,31717.0,14957.0,46674.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),0.0,2
PAPUA TENGAH,2014,Maluku & Papua,-4.0,136.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),0.0,2
DKI JAKARTA,2014,Jawa,-6.211544,106.845172,3263243.0,17522309.0,15110.0,22748.0,37858.0,38336.0,205467.0,243803.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,20785552.0,0
SUMATERA BARAT,2014,Sumatera,-0.739864,100.800018,6513832.0,4663614.0,71413.0,5107.0,76520.0,119158.0,39966.0,159124.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,11177446.0,0
BALI,2014,Bali & Nusa Tenggara,-8.340539,115.091949,8442821.0,6724668.0,107434.0,8659.0,116093.0,182300.0,78022.0,260322.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,15167489.0,0
KEP. RIAU,2014,Sumatera,3.945398,108.142571,974984.0,1152716.0,14638.0,761.0,15399.0,21512.0,5372.0,26884.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),2127700.0,2
SUMATERA UTARA,2014,Sumatera,2.11583,99.538753,7284515.0,6594124.0,76227.0,9836.0,86063.0,152531.0,70824.0,223355.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,13878639.0,0
LAMPUNG,2015,Sumatera,-4.557573,105.406811,7069270.0,3986686.0,76728.0,3777.0,80505.0,157646.0,30826.0,188472.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,11055956.0,0
SUMATERA UTARA,2015,Sumatera,2.11583,99.538753,7369342.0,3832142.0,94979.0,4043.0,99022.0,168272.0,27103.0,195375.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,11201484.0,0
SULAWESI TENGGARA,2015,Sulawesi,-4.14576,122.174605,3634358.0,476754.0,46084.0,1186.0,47270.0,81671.0,8424.0,90095.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),4111112.0,3
NUSA TENGGARA BARAT,2015,Bali & Nusa Tenggara,-8.652406,117.361649,10059028.0,7769461.0,79764.0,14527.0,94291.0,156660.0,166662.0,323322.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,17828489.0,0
PAPUA TENGAH,2015,Maluku & Papua,-4.0,136.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),0.0,3
DKI JAKARTA,2015,Jawa,-6.211544,106.845172,6717207.0,5961450.0,28378.0,6616.0,34994.0,64180.0,52710.0,116890.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,12678657.0,0
DI YOGYAKARTA,2015,Jawa,-7.873783,110.425706,4171880.0,2561462.0,52907.0,4758.0,57665.0,93632.0,38445.0,132077.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),6733342.0,0
BANTEN,2015,Jawa,-6.405876,106.102921,11736500.0,13467772.0,108235.0,9313.0,117548.0,191324.0,80726.0,272050.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,25204272.0,0
PAPUA SELATAN,2015,Maluku & Papua,-6.75,140.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),0.0,3
PAPUA PEGUNUNGAN,2015,Maluku & Papua,-4.5,138.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),0.0,3
GORONTALO,2015,Sulawesi,0.699526,122.446341,872305.0,193684.0,12458.0,758.0,13216.0,22726.0,5332.0,28058.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1065989.0,3
RIAU,2015,Sumatera,0.293491,101.706513,1797835.0,384633.0,16791.0,644.0,17435.0,33645.0,4839.0,38484.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),2182468.0,3
JAWA BARAT,2015,Jawa,-7.090911,107.668887,53614309.0,76921027.0,421881.0,58359.0,480240.0,833706.0,463913.0,1297619.0,1,2,Cluster 2: Sedang / Potensial,Cluster 2: Produktivitas IMK Sedang,130535336.0,2
ACEH,2015,Sumatera,4.695135,96.749397,3684835.0,751272.0,64009.0,1483.0,65492.0,112728.0,9777.0,122505.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),4436107.0,0
KALIMANTAN SELATAN,2015,Kalimantan,-3.093082,115.283366,4175805.0,1388517.0,55564.0,1913.0,57477.0,95252.0,15482.0,110734.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),5564322.0,0
PAPUA,2015,Maluku & Papua,-4.269928,138.080353,1199063.0,233657.0,6973.0,484.0,7457.0,16442.0,2716.0,19158.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1432720.0,3
PAPUA BARAT DAYA,2015,Maluku & Papua,-1.8,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),0.0,3
KALIMANTAN TENGAH,2015,Kalimantan,-1.681488,113.382355,1412325.0,640699.0,11884.0,715.0,12599.0,21392.0,4393.0,25785.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),2053024.0,3
PAPUA BARAT,2015,Maluku & Papua,-1.336246,133.174595,192349.0,64970.0,1442.0,81.0,1523.0,2623.0,592.0,3215.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),257319.0,3
JAWA TIMUR,2015,Jawa,-7.536068,112.238425,72242853.0,44347527.0,771185.0,49659.0,820844.0,1518302.0,398088.0,1916390.0,1,2,Cluster 2: Sedang / Potensial,Cluster 2: Produktivitas IMK Sedang,116590380.0,1
BALI,2015,Bali & Nusa Tenggara,-8.340539,115.091949,9035845.0,5697080.0,95282.0,8078.0,103360.0,162548.0,60235.0,222783.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,14732925.0,0
SUMATERA BARAT,2015,Sumatera,-0.739864,100.800018,5906327.0,4191520.0,63409.0,4288.0,67697.0,114601.0,31016.0,145617.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,10097847.0,0
SULAWESI UTARA,2015,Sulawesi,0.627019,123.975107,4628966.0,25152.0,39431.0,39.0,39470.0,71833.0,351.0,72184.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),4654118.0,3
JAMBI,2015,Sumatera,-1.612129,103.611496,2563288.0,1190131.0,22415.0,1754.0,24169.0,41790.0,12030.0,53820.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),3753419.0,3
KEP. RIAU,2015,Sumatera,3.945398,108.142571,410944.0,263381.0,7231.0,237.0,7468.0,10146.0,1931.0,12077.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),674325.0,3
MALUKU UTARA,2015,Maluku & Papua,1.570696,127.808189,353562.0,83009.0,6939.0,112.0,7051.0,10551.0,1108.0,11659.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),436571.0,3
MALUKU,2015,Maluku & Papua,-3.238929,130.145295,1095011.0,104988.0,19312.0,263.0,19575.0,32413.0,1963.0,34376.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1199999.0,3
KEP. BANGKA BELITUNG,2015,Sumatera,-2.741051,106.440903,549367.0,221716.0,5914.0,237.0,6151.0,10470.0,1839.0,12309.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),771083.0,3
KALIMANTAN TIMUR,2015,Kalimantan,1.681488,116.419389,1337811.0,951152.0,11084.0,944.0,12028.0,19213.0,6228.0,25441.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),2288963.0,3
NUSA TENGGARA TIMUR,2015,Bali & Nusa Tenggara,-8.657384,121.079107,2000404.0,1008599.0,71768.0,1401.0,73169.0,124561.0,12204.0,136765.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),3009003.0,0
SULAWESI TENGAH,2015,Sulawesi,-1.430318,121.445017,1983478.0,720968.0,20745.0,1651.0,22396.0,40946.0,13149.0,54095.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),2704446.0,3
KALIMANTAN UTARA,2015,Kalimantan,3.073798,116.041703,149580.0,117315.0,1180.0,120.0,1300.0,2220.0,895.0,3115.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),266895.0,3
JAWA TENGAH,2015,Jawa,-7.150975,110.140259,70886432.0,69119863.0,934814.0,95560.0,1030374.0,1830429.0,740980.0,2571409.0,2,3,Cluster 3: Sangat Tinggi (Mikro Dominan),Cluster 3: Raksasa IMK (Mikro Dominan),140006295.0,1
BENGKULU,2015,Sumatera,-3.79313,102.265808,1392880.0,476399.0,11663.0,618.0,12281.0,22138.0,4593.0,26731.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1869279.0,3
SULAWESI BARAT,2015,Sulawesi,-2.840676,119.23247,741020.0,211925.0,11123.0,751.0,11874.0,20319.0,5310.0,25629.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),952945.0,3
SUMATERA SELATAN,2015,Sumatera,-3.319009,103.914399,2933807.0,1526441.0,47516.0,1830.0,49346.0,79542.0,14617.0,94159.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),4460248.0,3
KALIMANTAN BARAT,2015,Kalimantan,-0.138716,109.332657,4568836.0,1015458.0,53867.0,1246.0,55113.0,99439.0,7953.0,107392.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),5584294.0,0
SULAWESI SELATAN,2015,Sulawesi,-3.665354,119.97248,10631028.0,9342241.0,112896.0,5577.0,118473.0,201034.0,44957.0,245991.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,19973269.0,0
JAMBI,2017,Sumatera,-1.612129,103.611496,2651795.0,601134.0,26733.0,1059.0,27792.0,47369.0,7218.0,54587.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),3252929.0,0
RIAU,2017,Sumatera,0.293491,101.706513,7757998.0,3777364.0,62371.0,3362.0,65733.0,126270.0,26086.0,152356.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,11535362.0,2
SUMATERA SELATAN,2017,Sumatera,-3.319009,103.914399,6306028.0,2165308.0,65984.0,3884.0,69868.0,126811.0,27790.0,154601.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,8471336.0,0
JAWA TENGAH,2017,Jawa,-7.150975,110.140259,56056270.0,38843367.0,836641.0,55990.0,892631.0,1493672.0,444718.0,1938390.0,1,2,Cluster 2: Sedang / Potensial,Cluster 2: Produktivitas IMK Sedang,94899637.0,1
ACEH,2017,Sumatera,4.695135,96.749397,5977476.0,1477440.0,96294.0,2983.0,99277.0,161626.0,19677.0,181303.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,7454916.0,2
BENGKULU,2017,Sumatera,-3.79313,102.265808,2483743.0,208421.0,26318.0,462.0,26780.0,50189.0,3106.0,53295.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),2692164.0,0
GORONTALO,2017,Sulawesi,0.699526,122.446341,2044787.0,848264.0,35435.0,1515.0,36950.0,61246.0,14112.0,75358.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),2893051.0,0
JAWA BARAT,2017,Jawa,-7.090911,107.668887,69125625.0,53209565.0,523766.0,50409.0,574175.0,1035422.0,419930.0,1455352.0,1,2,Cluster 2: Sedang / Potensial,Cluster 2: Produktivitas IMK Sedang,122335190.0,3
SULAWESI BARAT,2017,Sulawesi,-2.840676,119.23247,955350.0,174287.0,21602.0,844.0,22446.0,38443.0,5152.0,43595.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1129637.0,0
DKI JAKARTA,2017,Jawa,-6.211544,106.845172,15576173.0,30757020.0,56201.0,19827.0,76028.0,126833.0,178380.0,305213.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,46333193.0,2
DI YOGYAKARTA,2017,Jawa,-7.873783,110.425706,7887279.0,4174992.0,91328.0,5991.0,97319.0,148608.0,46555.0,195163.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,12062271.0,2
PAPUA TENGAH,2017,Maluku & Papua,-4.0,136.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),0.0,0
PAPUA BARAT DAYA,2017,Maluku & Papua,-1.8,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),0.0,0
SULAWESI UTARA,2017,Sulawesi,0.627019,123.975107,5022409.0,1072135.0,65364.0,1866.0,67230.0,119532.0,11971.0,131503.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),6094544.0,0
KALIMANTAN TENGAH,2017,Kalimantan,-1.681488,113.382355,3639899.0,1136801.0,33148.0,1439.0,34587.0,58336.0,9885.0,68221.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),4776700.0,0
KALIMANTAN BARAT,2017,Kalimantan,-0.138716,109.332657,5294113.0,1226340.0,53348.0,1696.0,55044.0,99498.0,12350.0,111848.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),6520453.0,0
NUSA TENGGARA TIMUR,2017,Bali & Nusa Tenggara,-8.657384,121.079107,5543670.0,789115.0,158491.0,2766.0,161257.0,269461.0,17659.0,287120.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,6332785.0,2
SULAWESI SELATAN,2017,Sulawesi,-3.665354,119.97248,10863793.0,6239336.0,119601.0,3778.0,123379.0,232333.0,31653.0,263986.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,17103129.0,2
PAPUA BARAT,2017,Maluku & Papua,-1.336246,133.174595,967384.0,398870.0,10693.0,384.0,11077.0,17810.0,2715.0,20525.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1366254.0,0
JAWA TIMUR,2017,Jawa,-7.536068,112.238425,73117282.0,42738113.0,723735.0,128566.0,852301.0,1448206.0,1267957.0,2716163.0,2,3,Cluster 3: Sangat Tinggi (Mikro Dominan),Cluster 3: Raksasa IMK (Mikro Dominan),115855395.0,1
LAMPUNG,2017,Sumatera,-4.557573,105.406811,9287476.0,3036735.0,93499.0,5772.0,99271.0,190146.0,41843.0,231989.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,12324211.0,2
SUMATERA UTARA,2017,Sumatera,2.11583,99.538753,12111464.0,5015926.0,145716.0,6750.0,152466.0,273642.0,51322.0,324964.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,17127390.0,2
KALIMANTAN UTARA,2017,Kalimantan,3.073798,116.041703,589223.0,214112.0,7103.0,235.0,7338.0,11186.0,1483.0,12669.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),803335.0,0
MALUKU,2017,Maluku & Papua,-3.238929,130.145295,2366358.0,816094.0,41194.0,673.0,41867.0,63297.0,4501.0,67798.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),3182452.0,0
SULAWESI TENGAH,2017,Sulawesi,-1.430318,121.445017,3835104.0,2033843.0,79500.0,7690.0,87190.0,182968.0,53159.0,236127.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,5868947.0,2
NUSA TENGGARA BARAT,2017,Bali & Nusa Tenggara,-8.652406,117.361649,6782491.0,6175270.0,99961.0,16909.0,116870.0,189613.0,161158.0,350771.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,12957761.0,2
SULAWESI TENGGARA,2017,Sulawesi,-4.14576,122.174605,5163102.0,338948.0,67036.0,847.0,67883.0,131668.0,5635.0,137303.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),5502050.0,0
BANTEN,2017,Jawa,-6.405876,106.102921,15417023.0,7106680.0,96201.0,9509.0,105710.0,187805.0,80390.0,268195.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,22523703.0,2
MALUKU UTARA,2017,Maluku & Papua,1.570696,127.808189,1655781.0,350642.0,27761.0,4147.0,31908.0,50342.0,31668.0,82010.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),2006423.0,0
KEP. BANGKA BELITUNG,2017,Sumatera,-2.741051,106.440903,2673861.0,433769.0,25859.0,489.0,26348.0,44367.0,4040.0,48407.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),3107630.0,0
PAPUA SELATAN,2017,Maluku & Papua,-6.75,140.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),0.0,0
PAPUA PEGUNUNGAN,2017,Maluku & Papua,-4.5,138.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),0.0,0
