provinsi,tahun,pulau,latitude,longitude,nilai_output_mikro,nilai_output_kecil,perusahaan_mikro,perusahaan_kecil,jumlah_perusahaan,tenaga_kerja_mikro,tenaga_kerja_kecil,jumlah_tenaga_kerja,cluster_raw,cluster,kategori_cluster,Kategori_Cluster,nilai_output,cluster_id
KEP. RIAU,2024,Sumatera,3.945398,108.142571,3197285.0,137458.0,20113.0,331.0,20444.0,41039.0,1767.0,42806.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),3334743.0,0
LAMPUNG,2024,Sumatera,-4.557573,105.406811,9115032.0,3334370.0,83989.0,4080.0,88069.0,176014.0,31906.0,207920.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,12449402.0,2
PAPUA,2024,Maluku & Papua,-4.269928,138.080353,681078.0,64504.0,7370.0,129.0,7499.0,15298.0,734.0,16032.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),745582.0,0
PAPUA BARAT,2024,Maluku & Papua,-1.336246,133.174595,318686.0,38453.0,1827.0,31.0,1858.0,3077.0,220.0,3297.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),357139.0,0
BALI,2024,Bali & Nusa Tenggara,-8.340539,115.091949,11631878.0,3187724.0,143770.0,3273.0,147043.0,264529.0,24343.0,288872.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,14819602.0,2
BANTEN,2024,Jawa,-6.405876,106.102921,15465209.0,5373709.0,93834.0,5892.0,99726.0,201819.0,48341.0,250160.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,20838918.0,2
PAPUA TENGAH,2024,Maluku & Papua,-4.0,136.5,392065.0,104099.0,3732.0,96.0,3828.0,7505.0,586.0,8091.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),496164.0,0
PAPUA SELATAN,2024,Maluku & Papua,-6.75,140.5,684142.0,5989.0,4911.0,20.0,4931.0,10041.0,152.0,10193.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),690131.0,0
SUMATERA BARAT,2024,Sumatera,-0.739864,100.800018,8921386.0,1929762.0,85194.0,2859.0,88053.0,146566.0,20707.0,167273.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,10851148.0,2
BENGKULU,2024,Sumatera,-3.79313,102.265808,2173726.0,418739.0,20744.0,911.0,21655.0,42659.0,6683.0,49342.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),2592465.0,0
KALIMANTAN SELATAN,2024,Kalimantan,-3.093082,115.283366,5114359.0,3363020.0,58754.0,2195.0,60949.0,100268.0,15678.0,115946.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),8477379.0,0
KALIMANTAN TENGAH,2024,Kalimantan,-1.681488,113.382355,2057489.0,443919.0,29032.0,628.0,29660.0,47153.0,4434.0,51587.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),2501408.0,0
KALIMANTAN UTARA,2024,Kalimantan,3.073798,116.041703,618865.0,176376.0,5783.0,170.0,5953.0,10659.0,1092.0,11751.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),795241.0,0
KALIMANTAN TIMUR,2024,Kalimantan,1.681488,116.419389,4676297.0,3411688.0,31440.0,2111.0,33551.0,57777.0,14616.0,72393.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),8087985.0,0
SULAWESI UTARA,2024,Sulawesi,0.627019,123.975107,3426484.0,588974.0,47990.0,911.0,48901.0,90740.0,6111.0,96851.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),4015458.0,0
JAWA BARAT,2024,Jawa,-7.090911,107.668887,69493963.0,70425499.0,583357.0,56959.0,640316.0,1241419.0,472972.0,1714391.0,1,2,Cluster 2: Sedang / Potensial,Cluster 2: Produktivitas IMK Sedang,139919462.0,3
NUSA TENGGARA TIMUR,2024,Bali & Nusa Tenggara,-8.657384,121.079107,5082098.0,364098.0,144145.0,1148.0,145293.0,212327.0,7626.0,219953.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,5446196.0,2
SULAWESI SELATAN,2024,Sulawesi,-3.665354,119.97248,9291218.0,5911815.0,122892.0,3911.0,126803.0,212315.0,29456.0,241771.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,15203033.0,2
SULAWESI TENGAH,2024,Sulawesi,-1.430318,121.445017,6453429.0,2584207.0,73087.0,9267.0,82354.0,179966.0,63501.0,243467.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,9037636.0,2
KEP. BANGKA BELITUNG,2024,Sumatera,-2.741051,106.440903,1905496.0,461958.0,17138.0,583.0,17721.0,27487.0,4424.0,31911.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),2367454.0,0
